0.13	0.4	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02
0.13	0.36	0.05	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02
0.18	0.06	0.3	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02
0.18	0.06	0.3	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02
0.15	0.05	0.05	0	0.2	0.35	0.05	0.05	0.05	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.15	0.05	0.05	0	0	0	0	0	0	0	0.1	0.05	0.3	0.3	0	0	0	0	0	0	0	0	0	0	0	0
0.15	0.05	0.05	0	0	0	0	0	0	0	0	0	0	0	0.25	0.15	0.2	0.05	0.05	0.05	0	0	0	0	0	0
0.15	0.05	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35	0.1	0.1	0.1	0.1	0	0	0	0	0
0.15	0.05	0.05	0	0	0	0	0	0	0	0	0	0	0	0.2	0.15	0.2	0	0	0	0	0.2	0	0	0	0
0.15	0.05	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.75	0	0	0
0.15	0.05	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.55	0.2	0
0.15	0.05	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.55	0.2
