Header	Aggressive	Doer	Constructive	Nice	Passive	NeutralStart	0.0	0.0	0.0	0.0	0.0	0.0Respond	0.0	0.0	0.0	0.0	0.0	0.0AskHelp	0.0	0.0	0.0	0.0	0.0	0.0OfferHelp	0.0	0.0	0.0	0.0	0.0	0.0
AcceptHelp	0.0	0.0	0.0	0.0	0.0	0.0Help	0.0	0.0	0.0	0.0	0.0	0.0Praise	0.0	0.0	0.0	0.0	0.0	0.0Reprimand	0.0	0.0	0.0	0.0	0.0	0.0Learning	0.0	0.0	0.0	0.0	0.0	0.0
Forgetting	0.0	0.0	0.0	0.0	0.0	0.0
Motivated	0.0	0.0	0.0	0.0	0.0	0.0
Demotivated	0.0	0.0	0.0	0.0	0.0	0.0Working	1.0	1.0	1.0	1.0	1.0	1.0
Overtime	0.0	0.0	0.0	0.0	0.0	0.0
Aggressive	0.0	0.0	0.0	0.0	0.0	0.0
Constructive	0.0	0.0	0.0	0.0	0.0	0.0
Passive	0.0	0.0	0.0	0.0	0.0	0.0
BAggressive	0.0	0.0	0.0	0.0	0.0	0.0
BConstructive	0.0	0.0	0.0	0.0	0.0	0.0
BPassive	0.0	0.0	0.0	0.0	0.0	0.0
MgnAggressive	0.0	0.0	0.0	0.0	0.0	0.0
MgnConstructive	0.0	0.0	0.0	0.0	0.0	0.0
MgnPassive	0.0	0.0	0.0	0.0	0.0	0.0
TLAggressive	0.0	0.0	0.0	0.0	0.0	0.0
TLConstructive	0.0	0.0	0.0	0.0	0.0	0.0
TLPassive	0.0	0.0	0.0	0.0	0.0	0.0
QualityMotiv	0.0	0.0	0.0	0.0	0.0	0.0
CostSchedMotiv	0.0	0.0	0.0	0.0	0.0	0.0
ExplicitReward	0.0	0.0	0.0	0.0	0.0	0.0
ImplicitReward	0.0	0.0	0.0	0.0	0.0	0.0
