Header	Aggressive	Doer	Constructive	Nice	Passive	NeutralStart	0.05	0.10	0.20	0.10	0.05	0.01Respond	0.50	0.80	0.90	0.80	0.70	0.50AskHelp	0.05	0.20	0.50	0.30	0.10	0.05OfferHelp	0.02	0.05	0.80	0.10	0.05	0.01
AcceptHelp	0.30	0.40	0.80	0.50	0.20	0.10Help	0.05	0.10	0.50	0.30	0.10	0.05Praise	0.01	0.05	0.30	0.20	0.05	0.0Reprimand	0.50	0.30	0.05	0.01	0.0	0.0Learning	0.10	0.20	0.30	0.10	0.05	0.01
Forgetting	0.05	0.10	0.15	0.20	0.25	0.30
Motivated	0.10	0.15	0.20	0.15	0.10	0.15
Demotivated	0.20	0.25	0.40	0.25	0.10	0.15Working	0.90	0.98	0.95	0.90	0.80	0.85
Overtime	0.70	0.50	0.30	0.10	0.05	0.10
Aggressive	0.50	0.40	0.30	0.20	0.1	0.0
Constructive	0.10	0.20	0.80	0.30	0.10	0.0
Passive	0.03	0.05	0.10	0.15	0.25	0.20
BAggressive	0.0	0.0	0.0	0.0	0.0	0.0
BConstructive	0.0	0.0	0.0	0.0	0.0	0.0
BPassive	0.0	0.0	0.0	0.0	0.0	0.0
MngAggressive	0.0	0.0	0.0	0.0	0.0	0.0
MngConstructive	0.0	0.0	0.0	0.0	0.0	0.0
MngPassive	0.0	0.0	0.0	0.0	0.0	0.0
TLAggressive	0.50	0.40	0.30	0.20	0.1	0.0
TLConstructive	0.20	0.20	0.5	0.30	0.10	0.0
TLPassive	0.03	0.05	0.10	0.15	0.25	0.20
QualityMotiv	0.2	0.3	0.7	0.6	0.55	0.5
CostSchedMotiv	0.8	0.7	0.3	0.4	0.35	0.5
ExplicitReward	0.7	0.6	0.3	0.4	0.55	0.5
ImplicitReward	0.3	0.4	0.7	0.6	0.35	0.5
